url_path,views_total,views_unique
/equinor/power-platform-skills,9,5
/equinor/power-platform-skills/blob/main/.github/agents/equinor-plugin-reviewer.agent.md,1,1
/equinor/power-platform-skills/blob/main/.github/agents/sync-upstream.agent.md,1,1
/equinor/power-platform-skills/blob/main/.github/skills/review-plugin/SKILL.md,1,1
/equinor/power-platform-skills/blob/main/plugins/code-apps/agents/code-app-architect.md,1,1
/equinor/power-platform-skills/tree/main/.claude,1,1
/equinor/power-platform-skills/tree/main/docs/equinor-alignment,1,1
/equinor/power-platform-skills/tree/main/plugins/code-apps/skills,1,1
/microsoft/power-platform-skills/commit/b543b1f9e401f7a7ba3dcb04732b825787fb8263,1,1
/microsoft/power-platform-skills/compare/main...equinor:power-platform-skills:main,1,1
