url_path,views_total,views_unique
/equinor/power-platform-skills,28,9
/equinor/power-platform-skills/blob/main/README.md,8,3
/equinor/power-platform-skills/blob/main/docs/equinor-alignment/baseline.md,4,1
/equinor/power-platform-skills/blob/main/docs/equinor-alignment/README.md,2,1
/equinor/power-platform-skills/commit/2c82e39f3926d5c0e24d93243b253683327afcec,2,1
/equinor/power-platform-skills/security,2,1
/equinor/power-platform-skills/tree/main/plugins/code-apps,2,1
/equinor/power-platform-skills/blob/main/LICENSE,1,1
/equinor/power-platform-skills/blob/main/docs/equinor-alignment/reviews/code-apps-preview.json,1,1
/equinor/power-platform-skills/blob/main/plugins/code-apps/agents/code-app-architect.md,1,1
