time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,6,4,3,3
2026-06-26 00:00:00+00:00,16,6,4,2
2026-06-27 00:00:00+00:00,16,7,0,0
2026-06-28 00:00:00+00:00,22,9,0,0
2026-06-29 00:00:00+00:00,11,6,0,0
2026-06-30 00:00:00+00:00,183,16,21,3
2026-07-01 00:00:00+00:00,13,7,0,0
2026-07-02 00:00:00+00:00,14,8,0,0
2026-07-03 00:00:00+00:00,17,7,5,2
2026-07-04 00:00:00+00:00,18,9,1,1
2026-07-05 00:00:00+00:00,4,3,0,0
2026-07-06 00:00:00+00:00,14,5,0,0
2026-07-07 00:00:00+00:00,24,10,6,3
2026-07-08 00:00:00+00:00,15,6,2,1
