url_path,views_total,views_unique
/equinor/power-platform-skills,16,6
/equinor/power-platform-skills/blob/main/README.md,5,2
/equinor/power-platform-skills/blob/main/docs/equinor-alignment/baseline.md,2,1
/equinor/power-platform-skills/commit/2c82e39f3926d5c0e24d93243b253683327afcec,2,1
/equinor/power-platform-skills/tree/main/plugins/code-apps,2,1
/equinor/power-platform-skills/blob/main/docs/equinor-alignment/README.md,1,1
/equinor/power-platform-skills/blob/main/plugins/code-apps/skills/add-connector/SKILL.md,1,1
/equinor/power-platform-skills/compare/main...sync/upstream-2026-05-28,1,1
/equinor/power-platform-skills/pull/1,1,1
/equinor/power-platform-skills/security,1,1
