url_path,views_total,views_unique
/equinor/power-platform-skills,12,6
/equinor/power-platform-skills/pulls,6,2
/equinor/power-platform-skills/pull/5,4,2
/equinor/power-platform-skills/pull/5/changes,4,1
/equinor/power-platform-skills/tree/sync/upstream-2026-06-30,3,1
/equinor/power-platform-skills/tree/main/plugins,2,2
/equinor/power-platform-skills/agents,1,1
/equinor/power-platform-skills/blob/main/docs/equinor-alignment/baseline.md,1,1
/equinor/power-platform-skills/blob/main/plugins/mcp-apps/README.md,1,1
/equinor/power-platform-skills/blob/main/plugins/model-apps/skills/genpage/SKILL.md,1,1
