time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,13,7,0,0
2026-05-31 00:00:00+00:00,46,13,0,0
2026-06-01 00:00:00+00:00,13,7,2,1
2026-06-02 00:00:00+00:00,22,7,1,1
2026-06-03 00:00:00+00:00,17,8,4,3
2026-06-04 00:00:00+00:00,23,8,5,1
2026-06-05 00:00:00+00:00,15,6,4,3
2026-06-06 00:00:00+00:00,15,6,0,0
2026-06-07 00:00:00+00:00,17,8,0,0
2026-06-08 00:00:00+00:00,15,6,0,0
2026-06-09 00:00:00+00:00,190,29,13,2
2026-06-10 00:00:00+00:00,8,5,1,1
2026-06-11 00:00:00+00:00,20,9,2,2
2026-06-12 00:00:00+00:00,22,9,11,2
