url_path,views_total,views_unique
/equinor/power-platform-skills,12,6
/equinor/power-platform-skills/pull/4,4,2
/equinor/power-platform-skills/blob/main/README.md,3,1
/equinor/power-platform-skills/pull/2,3,1
/equinor/power-platform-skills/tree/main/plugins/code-apps,3,1
/equinor/power-platform-skills/pull/2/changes,2,1
/equinor/power-platform-skills/commit/2c82e39f3926d5c0e24d93243b253683327afcec,1,1
/equinor/power-platform-skills/compare/main...sync/upstream-2026-05-28,1,1
/equinor/power-platform-skills/pull/1,1,1
/equinor/power-platform-skills/pull/3/changes,1,1
